Date Pulled,Metric,Value,Source,Period,Notes
2026-08-26,Android 7-day device retention,5,Google Play Console Grow Users,Last 28 days vs previous 28 days,+67% - strong retention signal
2026-08-26,Android installed audience (current),84,Google Play Console app list,2026-08-26,
2026-08-26,AdMob earnings - today,ILS 0.16,AdMob Home dashboard,2026-08-26,
2026-08-26,AdMob earnings - yesterday,ILS 0.35,AdMob Home dashboard,2026-08-25,
2026-08-26,AdMob earnings - this month,ILS 2.66,AdMob Home dashboard,Aug 2026 so far,
2026-08-26,AdMob impressions (7d),349,AdMob Home dashboard,Last 7 days vs previous 7 days,+40.16% - real usage increase
2026-08-26,AdMob ad requests (7d),439,AdMob Home dashboard,Last 7 days vs previous 7 days,+7.86%
2026-08-26,AdMob match rate (7d),97.27%,AdMob Home dashboard,Last 7 days vs previous 7 days,+12.01%
2026-08-26,AdMob eCPM (7d),ILS 2.15,AdMob Home dashboard,Last 7 days vs previous 7 days,-46.36% - revenue per impression down despite more traffic
2026-08-26,AdMob estimated earnings (7d),ILS 0.75,AdMob Home dashboard,Last 7 days vs previous 7 days,-24.82% - eCPM drop outweighing impression growth
2026-08-26,Play Console policy status,SEE NOTES,Google Play Console Policy status,2026-08-26,App must target Android 15 (API 35) - already enforced; must target Android 16 (API 36) by Aug 31 2026 (5 days away) or future updates rejected. Not a content/spam violation - routine SDK targeting requirement. Code change needed - flagged not actioned.
2026-08-27,Firebase 30-day active users,119,Firebase Analytics Dashboard,Last 30 days as of Aug 27,~flat vs 120 on Aug 26
2026-08-27,Firebase 7-day active users,52,Firebase Analytics Dashboard,Last 7 days as of Aug 27,+37% vs 38 on Aug 26 - real jump
2026-08-27,Firebase DAU,26,Firebase Analytics Dashboard,2026-08-27,+117% vs 12 on Aug 26 - strong signal
2026-08-27,Android installed audience (current),84,Google Play Console app list,2026-08-27,unchanged vs Aug 26 - reporting lag
2026-08-27,Android Device impressions,1540,Google Play Console Grow Users,Last 28 days vs previous 28 days,-52% - identical to Aug 26 snapshot; window not yet refreshed (2-3 day lag)
2026-08-27,Android Device acquisitions,26,Google Play Console Grow Users,Last 28 days vs previous 28 days,-42% - identical to Aug 26 snapshot; window not yet refreshed
2026-08-27,Android Monthly active devices,46,Google Play Console Grow Users,Last 28 days vs previous 28 days,+15% - identical to Aug 26 snapshot
2026-08-27,Android 7-day device retention,5,Google Play Console Grow Users,Last 28 days vs previous 28 days,+67% - identical to Aug 26 snapshot
2026-08-27,AdMob earnings - today,ILS 0.01,AdMob Home dashboard,2026-08-27,
2026-08-27,AdMob earnings - yesterday,ILS 0.23,AdMob Home dashboard,2026-08-26,
2026-08-27,AdMob earnings - this month,ILS 2.74,AdMob Home dashboard,Aug 2026 so far,
2026-08-27,AdMob impressions (7d),420,AdMob Home dashboard,Last 7 days vs previous 7 days,+71.43% - up from +40.16% yesterday - real continued usage growth
2026-08-27,AdMob ad requests (7d),531,AdMob Home dashboard,Last 7 days vs previous 7 days,+36.86% - up from +7.86% yesterday
2026-08-27,AdMob match rate (7d),97.74%,AdMob Home dashboard,Last 7 days vs previous 7 days,+15.62%
2026-08-27,AdMob eCPM (7d),ILS 2.07,AdMob Home dashboard,Last 7 days vs previous 7 days,-46.86% - still the drag on revenue despite more traffic
2026-08-27,AdMob estimated earnings (7d),ILS 0.87,AdMob Home dashboard,Last 7 days vs previous 7 days,-8.91% - improved from -24.82% yesterday as impression growth catches up to eCPM drop
2026-08-27,Firebase 30-day active users,119,Firebase Analytics Dashboard,Last 30 days as of Aug 27 evening,unchanged vs morning pull
2026-08-27,Firebase 7-day active users,52,Firebase Analytics Dashboard,Last 7 days as of Aug 27 evening,unchanged vs morning pull; +37% vs Aug 25's 38
2026-08-27,Firebase DAU,26,Firebase Analytics Dashboard,2026-08-27 evening,unchanged vs morning pull; +117% vs Aug 25's 12
2026-08-27,Realtime active users (last 30 min),2,Firebase Realtime Analytics,2026-08-27 evening check,1 Israel + 1 United States
2026-08-27,Android installed audience (current),84,Google Play Console app list,2026-08-27 evening,unchanged vs Aug 26/27 morning
2026-08-27,Android Device impressions,1480,Google Play Console Grow Users,Last 28 days vs previous 28 days,-51% - still declining, window rolled forward one day from 1540/-52%
2026-08-27,Android Device acquisitions,23,Google Play Console Grow Users,Last 28 days vs previous 28 days,-52% - DOWN further from 26 this morning and 35 on Aug 25; declining trend continuing despite promo push
2026-08-27,Android Device first opens,6,Google Play Console Grow Users,Last 28 days vs previous 28 days,-68% - DOWN sharply from 11 this morning
2026-08-27,Android Monthly active devices,46,Google Play Console Grow Users,Last 28 days vs previous 28 days,+10% - same count as before but growth rate softened from +15%
2026-08-27,Android 7-day device retention,4,Google Play Console Grow Users,Last 28 days vs previous 28 days,0% growth - DOWN from 5/+67% this morning
2026-08-27,AdMob earnings - today so far,ILS 0.07,AdMob Home dashboard,2026-08-27 evening,
2026-08-27,AdMob earnings - this month,ILS 2.80,AdMob Home dashboard,Aug 2026 so far,up slightly from 2.74 this morning
2026-08-27,AdMob impressions/requests (7d),420 / 531,AdMob Home dashboard,Last 7 days vs previous 7 days,unchanged vs this morning's pull - AdMob data not yet refreshed for today
